,Year,COUNTY NAME,TOTAL ARRESTS,JUVENILE POP,CRIME RATE
0,2006,Alachua,2219,44181,5.022520993187117
1,2006,Baker,171,6793,2.5172972177241277
2,2006,Bay,1716,38213,4.490618375945359
3,2006,Bradford,101,5828,1.7330130404941664
4,2006,Brevard,5938,111569,5.322266937948713
5,2006,Broward,11040,406470,2.7160676064654217
6,2006,Calhoun,61,3062,1.9921619856303068
7,2006,Charlotte,1139,23932,4.759318067858934
8,2006,Citrus,624,22700,2.748898678414097
9,2006,Clay,1251,48332,2.588347264752131
10,2006,Collier,2366,63681,3.715393916552818
11,2006,Columbia,353,15499,2.2775662945996515
12,2006,Desoto,122,7869,1.550387596899225
13,2006,Dixie,51,3193,1.5972439711869715
14,2006,Duval,6285,208556,3.013579086672165
15,2006,Escambia,2874,66297,4.335037784515136
16,2006,Flagler,503,16549,3.039458577557556
17,2006,Franklin,59,2001,2.948525737131434
18,2006,Gadsden,307,11276,2.722596665484214
19,2006,Gilchrist,35,3701,0.9456903539583896
20,2006,Glades,101,2593,3.895102198225993
21,2006,Gulf,85,2808,3.027065527065527
22,2006,Hamilton,83,3053,2.718637405830331
23,2006,Hardee,246,7380,3.3333333333333335
24,2006,Hendry,475,11199,4.241450129475846
25,2006,Hernando,1458,32773,4.448784060049431
26,2006,Highlands,718,18122,3.962035095464077
27,2006,Hillsborough,12112,290759,4.165649214641679
28,2006,Holmes,65,4444,1.4626462646264626
29,2006,Indian River,712,25337,2.8101195879543748
30,2006,Jackson,113,10184,1.1095836606441476
31,2006,Jefferson,48,2933,1.6365496079099897
32,2006,Lafayette,20,1702,1.1750881316098707
33,2006,Lake,1589,58995,2.6934485973387576
34,2006,Lee,4257,116982,3.6390213879058315
