,COUNTY NAME,Year,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT,TOTAL ARRESTS,JUVENILE POP,CRIME RATE
714,Taylor,2001,7.6723163841807915,1.1251008878127522,4.267958030669895,2.2792574656981435,7.2601560398170575,3.387409200968523,2.2991659940812483,0.8105999461931666,0.7629808985741189,113,4682,2.4134985049124307
715,Union,2001,6.692998204667862,0.5906642728904847,4.811938958707361,1.290394973070018,5.812387791741473,2.9210053859964082,2.1131059245960504,0.4977558348294434,0.24326750448833034,51,2930,1.74061433447099
716,Volusia,2001,7.2474437960238625,0.5319342620738983,3.6626623534957816,3.0528471804541835,7.3960368678576645,3.426077344473885,2.111725214168441,0.29799892712583514,1.3736203000796527,3908,91260,4.2822704361165895
717,Wakulla,2001,6.857814838571733,0.5026726534103058,4.909771220868078,1.4453709642933503,6.524481505238402,3.1691255078041483,2.3222150951464613,0.32841565105837073,0.6005986743639085,176,6010,2.928452579034942
718,Walton,2001,8.0,0.7709715841415689,1.2225625319040327,6.006465883954397,9.817764165390503,3.5114854517611027,2.2628892291985707,0.44223243151267655,3.3622596562872213,218,9081,2.400616672172668
719,Washington,2001,9.989705882352943,1.333529411764706,6.404117647058825,2.252058823529412,10.45,4.29,2.9067647058823534,1.535,1.7079411764705883,77,4941,1.5583889900829788
720,Alachua,2000,7.051099525432793,0.7240491945725553,3.823875409397768,2.503174921462469,6.672849408462001,2.867789586257603,2.3140832832029945,0.4387741461132277,0.7973731702426309,2192,43856,4.998175848230574
721,Baker,2000,5.990430622009568,0.5759025663331884,4.326881252718573,1.0876468029578077,6.084602000869944,2.7083514571552847,2.2161809482383643,0.451935624184428,0.6837755545889517,157,6156,2.5503573749187782
722,Bay,2000,7.583217108321711,0.6206415620641562,4.0362234619556805,2.9263520843018753,9.161049124438248,3.093483651015032,2.005385092205176,0.4956996745699674,3.3219432821943284,1553,35580,4.364811691961776
723,Bradford,2000,6.506221029519395,0.6511344230300073,4.299585264698707,1.555501341790681,6.4781654061966325,3.0585508660648935,2.1636984630397658,0.5279336423517931,0.708709441327153,59,5719,1.0316488896660254
724,Brevard,2000,6.376509094041142,0.4217567936147916,3.4077747950790256,2.5469775053473254,6.33571151720475,3.1195503940511906,1.809692654426437,0.30585262916122363,0.9387318585722284,4414,104852,4.209743257162477
725,Broward,2000,7.200734983035662,0.4687632209843464,3.763946842310468,2.968024919740848,7.076231677271106,3.1057969090894013,2.2954698167519725,0.4859681286137357,1.056451010809062,12726,384383,3.310760361410364
726,Calhoun,2000,6.401717126073204,0.8725711703569815,4.468594667871668,1.0605512878445549,6.377767736104835,3.211929507455942,1.893357433348396,0.5196565747853592,0.7528242205151379,8,3008,0.26595744680851063
727,Charlotte,2000,7.297439264609324,0.5290992658031397,2.4630215483793947,4.305318450426788,6.5775085059392335,3.0980122963051397,2.1912493284784813,0.4639766012057542,0.7125887900674506,626,22252,2.813230271436276
728,Citrus,2000,6.771885069817401,0.5161788399570354,2.8946697099892584,3.3610365198711065,6.871777658431793,3.0388694951664883,2.2169709989258863,0.3461331901181525,1.2479860365198712,531,20403,2.6025584472871635
729,Clay,2000,6.324133434749537,0.31348473323916115,4.292006229852586,1.7186424716577928,6.377485602520918,2.9865623528559526,1.8922815024086348,0.24423195334854575,1.1890325618457749,1045,39557,2.6417574639128345
730,Collier,2000,9.139447780598033,0.6737757692069585,1.9066427289048475,6.559029282486224,8.21175633009348,3.77403578282672,2.33176499721414,0.4458614498854702,1.385563053302792,2668,50421,5.291446024473929
